Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,LAUREL,Wild Things,New Music Friday AU & NZ,68,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Troy Cassar-Daley,Old Road Home,New Music Friday AU & NZ,69,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Troy Cassar-Daley,Old Road Home,Fresh Country,21,380126,https://i.scdn.co/image/ab67706f00000003a0f2446fcc59f5fd2fe8e52f,Bronson Diamond
2024-03-01,Låpsley,4AM Ascension Day,New Music Friday AU & NZ,70,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Låpsley,4AM Ascension Day,Indie Arrivals,26,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,JYLPO,Won’t You,New Music Friday AU & NZ,71,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,JYLPO,Won’t You,Indie Arrivals,34,70759,https://i.scdn.co/image/ab67706f0000000317648aec60ba31d85f66b85a,San Cisco
2024-03-01,"Monsoon, Space Afro",Ready,New Music Friday AU & NZ,72,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"TOI, The NZ Team, Ellesse Andrews, Max Brown",Ain't Just Dreaming,New Music Friday AU & NZ,73,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,Jolyon Petch,Insomnia,New Music Friday AU & NZ,74,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
